Vuosi;Helsinki Kaisaniemi;Jyvaskyla lentoasema;Hailuoto Keskikyla;Rovaniemi Apukka
1980;-22.2;-26.5;-27.4;-36
1981;-17.6;-23.1;-26.4;-37.5
1982;-19.9;-26.8;-28.8;-38.3
1983;-13.6;-23.9;-26.9;-34.1
1984;-16.1;-21.2;-24.8;-29.2
1985;-23.7;-35.8;-30.5;-40.4
1986;-18.9;-28.7;-28.9;-34.2
1987;-32.5;-36.1;-32.3;-36.9
1988;-14.6;-22.8;-24.6;-31.4
1989;-18.2;-25.6;-21.5;-29.5
1990;-14.4;-21.8;-21.5;-28.6
1991;-13.1;-21.2;-21.2;-32.7
1992;-11.1;-19;-18.4;-21.4
1993;-14.2;-24.6;-20.7;-27.9
1994;-20.5;-27.5;-30.6;-35.5
1995;-17.9;-29.1;-27.9;-32.8
1996;-19.5;-26.2;-22.2;-26.1
1997;-16;-20.3;-19.3;-30.7
1998;-17.3;-27.4;-22.2;-39
1999;-23.2;-28.2;-33;-45.3
2000;-13.3;-21.9;-20.4;-27.8
2001;-21.6;-27.8;-27.4;-35.4
2002;-22.5;-28.8;-28.6;-33.2
2003;-22.6;-29.6;-34.7;-37.5
2004;-15.6;-24.4;-20.8;-26.9
2005;-13.2;-18.3;-19.5;-26.4
2006;-20.6;-30.3;-27.7;-33.3
2007;-17.8;-30.4;-30.6;-30.3
2008;-5.8;-12.5;-14;-21.5
2009;-15.4;-23.2;-23.6;-29.1
2010;-19;-27.3;-31;-33.7
2011;-19.3;-28.9;-29.2;-33.5
2012;-18.7;-30.6;-28.4;-34.9
2013;-16.6;-25.6;-21;-29.3
2014;-15.3;-23.9;-24.5;-31.3
2015;-10.7;-21.7;-19.6;-31.4
2016;-22.7;-28.5;-27;-33
2017;-17.3;-23.1;-23;-33.1
